Timepoint,Percent,Duration,Course
Pre,48.64864864864865,31.3,STAT 243
Pre,51.35135135135135,11.833333333333334,STAT 243
Pre,48.64864864864865,44.38333333333333,STAT 145
Pre,56.75675675675676,25.716666666666665,STAT 145
Pre,64.86486486486487,21.083333333333332,STAT 243
Pre,NA,33.083333333333336,STAT 243
Pre,59.45945945945946,38.93333333333333,STAT 243
Pre,83.78378378378379,29.05,STAT 145
Pre,51.35135135135135,37.15,STAT 243
Pre,54.054054054054056,18.666666666666668,STAT 243
Pre,59.45945945945946,28.85,STAT 145
Pre,64.86486486486487,29.783333333333335,STAT 145
Pre,54.054054054054056,59.4,STAT 145
Pre,54.054054054054056,23.65,STAT 145
Pre,62.16216216216216,31.433333333333334,STAT 145
Pre,70.27027027027027,24.516666666666666,STAT 145
Pre,56.75675675675676,70.68333333333334,STAT 243
Pre,70.27027027027027,49.65,STAT 243
Pre,67.56756756756756,26.55,STAT 145
Pre,75.67567567567568,49,STAT 145
Pre,72.97297297297297,32.95,STAT 243
Pre,70.27027027027027,53.06666666666667,STAT 145
Pre,56.75675675675676,22.6,STAT 243
Pre,43.24324324324324,43.45,STAT 145
Pre,51.35135135135135,28.4,STAT 145
Pre,59.45945945945946,32.05,STAT 145
Pre,56.75675675675676,31.633333333333333,STAT 145
Pre,56.75675675675676,22.233333333333334,STAT 145
Pre,59.45945945945946,28.133333333333333,STAT 145
Pre,75.67567567567568,26.516666666666666,STAT 243
Pre,78.37837837837837,22.366666666666667,STAT 243
Pre,64.86486486486487,43.3,STAT 145
Pre,54.054054054054056,42.96666666666667,STAT 145
Pre,72.97297297297297,33.4,STAT 243
Pre,48.64864864864865,29.15,STAT 243
Pre,70.27027027027027,24.25,STAT 243
Pre,64.86486486486487,54.85,STAT 145
Pre,62.16216216216216,68.43333333333334,STAT 243
Pre,62.16216216216216,50.6,STAT 145
Pre,NA,41.2,STAT 145
Pre,72.97297297297297,18.916666666666668,STAT 243
Pre,89.1891891891892,50.05,STAT 145
Pre,62.16216216216216,23.433333333333334,STAT 145
Pre,48.64864864864865,30.183333333333334,STAT 145
Pre,72.97297297297297,40.766666666666666,STAT 243
Pre,67.56756756756756,62.983333333333334,STAT 145
Pre,67.56756756756756,32.25,STAT 243
Pre,45.94594594594595,26.15,STAT 243
Pre,43.24324324324324,67.21666666666667,STAT 145
Pre,62.16216216216216,41.766666666666666,STAT 243
Pre,35.13513513513514,16.8,STAT 145
Pre,56.75675675675676,49.61666666666667,STAT 145
Pre,48.64864864864865,56.9,STAT 243
Pre,NA,4.883333333333334,STAT 243
Pre,89.1891891891892,49.6,STAT 243
Pre,NA,5.366666666666666,STAT 243
Pre,NA,23.333333333333332,STAT 243
Pre,NA,1.05,STAT 145
Pre,NA,17.916666666666668,STAT 145
Post,78.37837837837837,36.15,STAT 243
Post,81.08108108108108,38.416666666666664,STAT 243
Post,62.16216216216216,29.75,STAT 145
Post,81.08108108108108,17.75,STAT 243
Post,81.08108108108108,23.433333333333334,STAT 243
Post,78.37837837837837,32.78333333333333,STAT 145
Post,NA,29.366666666666667,STAT 243
Post,45.94594594594595,43.18333333333333,STAT 145
Post,89.1891891891892,35.61666666666667,STAT 145
Post,86.48648648648648,56.516666666666666,STAT 243
Post,75.67567567567568,51.7,STAT 243
Post,78.37837837837837,36.75,STAT 145
Post,62.16216216216216,19.616666666666667,STAT 243
Post,67.56756756756756,23,STAT 145
Post,70.27027027027027,19.466666666666665,STAT 243
Post,91.8918918918919,24.216666666666665,STAT 243
Post,81.08108108108108,48.15,STAT 145
Post,62.16216216216216,12.583333333333334,STAT 243
Post,81.08108108108108,44.53333333333333,STAT 145
Post,67.56756756756756,45.68333333333333,STAT 243
Post,89.1891891891892,25.55,STAT 243
Post,72.97297297297297,28.133333333333333,STAT 243
Post,59.45945945945946,29.883333333333333,STAT 243
Post,NA,31.083333333333332,STAT 145
Post,83.78378378378379,54.61666666666667,STAT 145
Post,86.48648648648648,51.03333333333333,STAT 243
Post,67.56756756756756,26.583333333333332,STAT 145
Post,67.56756756756756,20.9,STAT 243
Post,78.37837837837837,22.8,STAT 243
Post,86.48648648648648,60.56666666666667,STAT 145
Post,75.67567567567568,45.71666666666667,STAT 243
Post,NA,40.56666666666667,STAT 145
Post,NA,1.1833333333333333,STAT 243
Post,91.8918918918919,21.933333333333334,STAT 145
Post,59.45945945945946,40.583333333333336,STAT 145
Post,54.054054054054056,33.15,STAT 145
Post,NA,13.916666666666666,STAT 145
Post,94.5945945945946,27.933333333333334,STAT 145
Post,59.45945945945946,4.133333333333334,STAT 243
Post,70.27027027027027,27.116666666666667,STAT 145
Post,83.78378378378379,19.083333333333332,STAT 145
Post,75.67567567567568,52.25,STAT 243
Post,94.5945945945946,19.783333333333335,STAT 243
Post,67.56756756756756,72.11666666666666,STAT 243
Post,54.054054054054056,44.78333333333333,STAT 243
